Tiempo (s),Setpoint (K),Sensor 1 (K),Sensor 2 (K),dT/dt 1 (K/min),dT/dt 2 (K/Min),Potencia (W),Voltaje A (V),Voltaje B (V),Corriente (A),Resistencia A (Ohm),Resistencia B (Ohm)
198.8906250,299.5973901,305.5770000,26.8200000,-4.7767009,-0.4043768,0.0000000,0.1000890,0.0000954,NaN,1048.7595824,NaN
200.0654297,299.6074569,305.5700000,26.7280000,-0.2278368,-0.3290977,0.0000000,0.1000730,0.0000953,NaN,1049.5938413,NaN
201.2177734,299.6171411,305.5620000,26.8430000,-0.8215963,-0.3080986,0.0000000,0.1000800,0.0000954,NaN,1048.6191295,NaN
202.4130859,299.6269312,305.5550000,26.7720000,0.5930004,-0.3867394,0.0000000,0.1000940,0.0000955,NaN,1048.5999147,NaN
203.5742187,299.6365340,305.5450000,26.8350000,1.1245258,-0.3833611,0.0000000,0.1000820,0.0000955,NaN,1048.3006828,NaN
204.7363281,299.6464950,305.5350000,26.9480000,-0.2036966,-0.4328554,0.0000000,0.1000740,0.0000954,NaN,1048.7518602,NaN
205.8984375,299.6561711,305.5250000,26.8880000,4.5453720,-0.5165195,0.0000000,0.1001070,0.0000954,NaN,1049.3154246,NaN
207.0615234,299.6658553,305.5170000,26.9690000,1.3682017,-0.5163025,0.0000000,0.1001120,0.0000954,NaN,1049.3029418,NaN
208.2246094,299.6755396,305.5090000,26.9610000,0.5418900,-0.4644771,0.0000000,0.1000730,0.0000954,NaN,1049.2911966,NaN
209.3916016,299.6852319,305.5020000,26.8880000,1.8829219,-0.4126952,0.0000000,0.1001080,0.0000954,NaN,1049.4821152,NaN
210.5605469,299.6949243,305.4940000,27.0100000,-2.0857670,-0.3862531,0.0000000,0.1000890,0.0000954,NaN,1048.7672749,NaN
211.7617187,299.7046493,305.4840000,26.9620000,1.2585953,-0.3852843,0.0000000,0.1001020,0.0000954,NaN,1049.0024197,NaN
212.9375000,299.7143905,305.4740000,26.9170000,1.8733251,-0.4556737,0.0000000,0.1000920,0.0000955,NaN,1048.6031301,NaN
214.1005859,299.7244002,305.4630000,26.8460000,-2.3475431,-0.5048480,0.0000000,0.1000910,0.0000954,NaN,1048.8981387,NaN
215.2656250,299.7341984,305.4540000,26.7950000,-2.9757996,-0.5387223,0.0000000,0.1000770,0.0000954,NaN,1049.3749489,NaN
216.4404297,299.7438908,305.4460000,26.8990000,-3.1441611,-0.5154362,0.0000000,0.1000890,0.0000954,NaN,1049.0563744,NaN
217.6083984,299.7535994,305.4380000,26.8170000,1.3590651,-0.4359265,0.0000000,0.1001000,0.0000954,NaN,1049.5753990,NaN
218.7753906,299.7633895,305.4290000,26.8690000,0.5634348,-0.4097707,0.0000000,0.1000900,0.0000953,NaN,1050.0397607,NaN
