Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,4e-05,,,
Sample Interval,4e-10,,,
Record Length,1e+06,,,
Gating,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%,48.749900% to 51.249900%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,0.1,0.1,0.02,0.02
Label,,,,
TIME,CH1,CH2,CH3,CH4
4.60294272e-02,0.0129844,0.00917187,0.00516875,0.00338437
4.60294276e-02,0.0133437,0.009625,0.00519063,0.0033625
4.60294280e-02,0.0136562,0.00896875,0.00535625,0.00304688
4.60294284e-02,0.013375,0.00873437,0.0054375,0.003175
4.60294288e-02,0.0144844,0.00990625,0.005825,0.00354375
4.60294292e-02,0.0140938,0.0103437,0.00602187,0.00368438
4.60294296e-02,0.014125,0.0100156,0.00628437,0.00409063
4.60294300e-02,0.0129219,0.00945313,0.00652812,0.0044625
4.60294304e-02,0.0130469,0.00854688,0.00688437,0.00479063
4.60294308e-02,0.0136562,0.00775,0.00658125,0.005225
4.60294312e-02,0.0138594,0.00765625,0.006625,0.00554688
4.60294316e-02,0.0135,0.00945313,0.00658125,0.00606563
4.60294320e-02,0.0137031,0.00895313,0.00655313,0.00629062
4.60294324e-02,0.0139063,0.00954688,0.00632813,0.00663437
4.60294328e-02,0.0130781,0.0100781,0.00604688,0.00693125
4.60294332e-02,0.0133125,0.00995313,0.00586875,0.00695
4.60294336e-02,0.0122969,0.0101094,0.0056375,0.00684063
4.60294340e-02,0.0128906,0.0101406,0.00544688,0.0068
4.60294344e-02,0.0130469,0.0108594,0.00505625,0.006375
4.60294348e-02,0.0122969,0.00967187,0.00509688,0.00612812
4.60294352e-02,0.0116094,0.0107031,0.00486875,0.00585625
4.60294356e-02,0.0136094,0.0109219,0.00484063,0.005725
4.60294360e-02,0.0131094,0.0119063,0.00507188,0.00481875
4.60294364e-02,0.012375,0.0112812,0.00487187,0.00435
4.60294368e-02,0.0128906,0.0121094,0.00506875,0.0039375
4.60294372e-02,0.01325,0.0121875,0.00544688,0.00361562
4.60294376e-02,0.0134531,0.0118437,0.00563437,0.00338437
4.60294380e-02,0.0132656,0.0106875,0.0057375,0.00330938
4.60294384e-02,0.012375,0.00971875,0.0058625,0.00339375
4.60294388e-02,0.0130625,0.0103125,0.00597188,0.00356875
4.60294392e-02,0.0143594,0.01075,0.00630938,0.00367188
4.60294396e-02,0.0135938,0.0111719,0.006325,0.00394375
4.60294400e-02,0.0142344,0.00857812,0.00682188,0.00455938
4.60294404e-02,0.0131094,0.00884375,0.00710625,0.00505625
4.60294408e-02,0.0135156,0.00870312,0.00690937,0.00541563
4.60294412e-02,0.0134063,0.00840625,0.00675,0.00588125
4.60294416e-02,0.0124844,0.00678125,0.00660313,0.00595938
4.60294420e-02,0.0126875,0.00790625,0.00683438,0.006425
4.60294424e-02,0.0143906,0.0100312,0.0067375,0.0071
4.60294428e-02,0.0135781,0.00948437,0.00649062,0.00728437
