Model,DPO3034
Firmware Version,2.16

Point Format,Y,,,Point Format,Y
Horizontal Units,S,,,Horizontal Units,S
Horizontal Scale,0.004,,,Horizontal Scale,0.004
Sample Interval,4e-05,,,Sample Interval,4e-05
Record Length,1000,,,Record Length,1000
Gating,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,V
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,2,0.5,,Vertical Scale,1
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
1.136e-02,7.56,2.48,,1.136e-02,2.48
1.140e-02,7.4,2.5,,1.140e-02,2.5
1.144e-02,7.4,2.46,,1.144e-02,2.46
1.148e-02,7.48,2.48,,1.148e-02,2.48
1.152e-02,7.56,2.44,,1.152e-02,2.44
1.156e-02,7.48,2.48,,1.156e-02,2.48
1.160e-02,7.48,2.44,,1.160e-02,2.44
1.164e-02,7.4,2.48,,1.164e-02,2.48
1.168e-02,7.56,2.48,,1.168e-02,2.48
1.172e-02,7.56,2.48,,1.172e-02,2.48
1.176e-02,7.48,2.5,,1.176e-02,2.5
1.180e-02,7.48,2.46,,1.180e-02,2.46
1.184e-02,7.48,2.48,,1.184e-02,2.48
1.188e-02,7.48,2.46,,1.188e-02,2.46
1.192e-02,7.48,2.48,,1.192e-02,2.48
1.196e-02,7.4,2.48,,1.196e-02,2.48
1.200e-02,7.4,2.48,,1.200e-02,2.48
1.204e-02,7.48,2.48,,1.204e-02,2.48
1.208e-02,7.56,2.46,,1.208e-02,2.46
1.212e-02,7.56,2.46,,1.212e-02,2.46
1.216e-02,7.4,2.48,,1.216e-02,2.48
1.220e-02,7.48,2.48,,1.220e-02,2.48
1.224e-02,7.48,2.46,,1.224e-02,2.46
1.228e-02,7.48,2.44,,1.228e-02,2.44
1.232e-02,7.4,2.48,,1.232e-02,2.48
1.236e-02,7.48,2.46,,1.236e-02,2.46
1.240e-02,7.4,2.48,,1.240e-02,2.48
1.244e-02,7.48,2.48,,1.244e-02,2.48
1.248e-02,7.4,2.48,,1.248e-02,2.48
1.252e-02,7.48,2.48,,1.252e-02,2.48
1.256e-02,7.4,2.52,,1.256e-02,2.52
1.260e-02,7.4,2.5,,1.260e-02,2.5
1.264e-02,7.32,2.46,,1.264e-02,2.46
1.268e-02,7.32,2.48,,1.268e-02,2.48
1.272e-02,7.4,2.48,,1.272e-02,2.48
1.276e-02,7.4,2.48,,1.276e-02,2.48
1.280e-02,7.4,2.46,,1.280e-02,2.46
1.284e-02,7.48,2.48,,1.284e-02,2.48
1.288e-02,7.32,2.46,,1.288e-02,2.46
1.292e-02,7.4,2.48,,1.292e-02,2.48
1.296e-02,7.32,2.48,,1.296e-02,2.48
